NAMESPACE         NAME                                  TYPE        NODE-PORT
default           kubernetes                            ClusterIP   <none>
kube-system       kube-dns                              ClusterIP   <none>
kube-system       metrics-server                        ClusterIP   <none>
live-infimobile   billingrepo                           ClusterIP   <none>
live-infimobile   billingreports                        NodePort    31116
live-infimobile   cataloguemgmtrepo                     ClusterIP   <none>
live-infimobile   catlmgmt-svc                          NodePort    31184
live-infimobile   cdrmgmt-server                        NodePort    31112
live-infimobile   cdrmongodbrepo                        ClusterIP   <none>
live-infimobile   config-hub                            ClusterIP   <none>
live-infimobile   ejabberdrepo                          ClusterIP   <none>
live-infimobile   fetch-document                        NodePort    31104
live-infimobile   infimobile-admin-dash                 NodePort    31145
live-infimobile   infimobile-gorilla-website-static     NodePort    31143
live-infimobile   infimobile-reseller-dash              NodePort    31146
live-infimobile   infimobile-static                     NodePort    31144
live-infimobile   infimobile-validation                 NodePort    31090
live-infimobile   integration                           NodePort    31101
live-infimobile   inventorymgmtrepo                     ClusterIP   <none>
live-infimobile   invt-mgmt-service                     NodePort    31103
live-infimobile   mno-gw-interface                      ClusterIP   <none>
live-infimobile   mno-mgmt                              NodePort    31113
live-infimobile   mnoplanrepo                           ClusterIP   <none>
live-infimobile   mnorepo                               ClusterIP   <none>
live-infimobile   mqttbroker                            ClusterIP   <none>
live-infimobile   offlinerepo                           ClusterIP   <none>
live-infimobile   reseller-mgmt                         NodePort    31118
live-infimobile   roamabilityrepo                       ClusterIP   <none>
live-infimobile   self-service-payment                  NodePort    31105
live-infimobile   service-mgmt                          NodePort    31106
live-infimobile   servicemgmtrepo                       ClusterIP   <none>
live-infimobile   shipment-mgmt                         NodePort    31109
live-infimobile   shipmentmanagementrepo                ClusterIP   <none>
live-infimobile   sspaymentrepo                         ClusterIP   <none>
live-infimobile   tax-mgmt                              NodePort    31110
live-infimobile   taxmgmtrepo                           ClusterIP   <none>
live-infimobile   urarepo                               ClusterIP   <none>
live-infimobile   user-kyc                              NodePort    31111
live-infimobile   user-mgmt-service                     NodePort    31102
live-infimobile   userkycrepo                           ClusterIP   <none>
live-infimobile   usermgmtrepo                          ClusterIP   <none>
live-infimobile   ussd-mgmt-service                     NodePort    31117
live-infimobile   verizonnetworkcvgrepo                 ClusterIP   <none>
live-infimobile   verizonrepo                           ClusterIP   <none>
live-infimobile   wallet-mgmt                           NodePort    31107
live-infimobile   walletmgmtrepo                        ClusterIP   <none>
loki              loki-stack                            NodePort    30101
loki              loki-stack-grafana                    NodePort    30100
loki              loki-stack-headless                   ClusterIP   <none>
loki              loki-stack-kube-state-metrics         ClusterIP   <none>
loki              loki-stack-memberlist                 ClusterIP   <none>
loki              loki-stack-prometheus-alertmanager    NodePort    30290
loki              loki-stack-prometheus-node-exporter   ClusterIP   <none>
loki              loki-stack-prometheus-pushgateway     ClusterIP   <none>
loki              loki-stack-prometheus-server          NodePort    32506
test-infimobile   apisecurity-service                   NodePort    32129
test-infimobile   billingrepo                           ClusterIP   <none>
test-infimobile   billingreports                        NodePort    32116
test-infimobile   cataloguemgmtrepo                     ClusterIP   <none>
test-infimobile   catlmgmt-svc                          NodePort    32184
test-infimobile   cdrmgmt-server                        NodePort    32112
test-infimobile   cdrmongodbrepo                        ClusterIP   <none>
test-infimobile   config-hub                            NodePort    30194
test-infimobile   ejabberdrepo                          ClusterIP   <none>
test-infimobile   fetch-document                        NodePort    32104
test-infimobile   ildcdr-server                         NodePort    32767
test-infimobile   infimobile-admin-dash                 NodePort    32145
test-infimobile   infimobile-gorilla-website-static     NodePort    32143
test-infimobile   infimobile-reseller-dash              NodePort    32146
test-infimobile   infimobile-static                     NodePort    32144
test-infimobile   infimobile-validation                 NodePort    32090
test-infimobile   integration                           NodePort    32101
test-infimobile   intlcdrrepo                           ClusterIP   <none>
test-infimobile   inventorymgmtrepo                     ClusterIP   <none>
test-infimobile   invt-mgmt-service                     NodePort    32103
test-infimobile   mno-gw-interface                      ClusterIP   <none>
test-infimobile   mno-mgmt                              NodePort    32113
test-infimobile   mnoplanrepo                           ClusterIP   <none>
test-infimobile   mnorepo                               ClusterIP   <none>
test-infimobile   mqttbroker                            ClusterIP   <none>
test-infimobile   netip-gw                              NodePort    32128
test-infimobile   netip-mgmt                            NodePort    32127
test-infimobile   netiprepo                             ClusterIP   <none>
test-infimobile   offlinerepo                           ClusterIP   <none>
test-infimobile   prrcollector-server                   NodePort    32122
test-infimobile   prrfilesrepo                          ClusterIP   <none>
test-infimobile   reseller-mgmt                         NodePort    32118
test-infimobile   roamabilityrepo                       ClusterIP   <none>
test-infimobile   self-service-payment                  NodePort    32105
test-infimobile   service-mgmt                          NodePort    32106
test-infimobile   servicemgmtrepo                       ClusterIP   <none>
test-infimobile   shipment-mgmt                         NodePort    32109
test-infimobile   shipmentmanagementrepo                ClusterIP   <none>
test-infimobile   sspaymentrepo                         ClusterIP   <none>
test-infimobile   tax-mgmt                              NodePort    32110
test-infimobile   taxmgmtrepo                           ClusterIP   <none>
test-infimobile   urarepo                               ClusterIP   <none>
test-infimobile   user-kyc                              NodePort    32111
test-infimobile   user-mgmt-service                     NodePort    32102
test-infimobile   userkycrepo                           ClusterIP   <none>
test-infimobile   usermgmtrepo                          ClusterIP   <none>
test-infimobile   ussd-mgmt-service                     NodePort    32117
test-infimobile   verizonnetworkcvgrepo                 ClusterIP   <none>
test-infimobile   verizonrepo                           ClusterIP   <none>
test-infimobile   wallet-mgmt                           NodePort    32107
test-infimobile   walletmgmtrepo                        ClusterIP   <none>
